Title,Detail,Price(in dollar),Offer price(in dollar),Number of bed,Rating,Number of Reviews,Start Date,End Date,Length of Stay
"Guesthouse in Naples, Florida, US",Waterfront Sea Cottage,82.0,156.56024096385542,1.0,4.8,276.0,2024-06-13,2024-01-18,-147
"Cabin in Reaboro, Canada",Cedar Springs Cabin - A Cozy Hideaway in the Woods,346.0,156.56024096385542,2.0,4.97,76.0,2024-06-16,2024-01-21,-147
"Apartment in San José del Cabo, Mexico",Beachfront at its finest @ San Jose del Cabo! 🤩🏄🏼‍♂️🏖,78.0,156.56024096385542,1.0,4.75,186.0,2024-06-22,2024-01-29,-145
"Cabin in Puerto Viejo de Talamanca, Costa Rica",Tiny Beach front house,89.0,156.56024096385542,2.0,4.73,140.0,2024-07-24,2024-01-29,-177
"Home in Hamilton, Canada",Stunning house on lake Ontario,210.0,156.56024096385542,2.0,4.9,192.0,2024-06-25,2024-01-30,-147
"Tiny home in Key Largo, Florida, US","Oceanfront Lookout Point w/two Kayaks,Beach & Dock",254.0,156.56024096385542,1.0,4.86,90.0,2024-08-12,2024-01-17,-208
"Hotel in Willemstad, Curaçao",Saint Tropez Boutique Hotel,125.0,156.56024096385542,1.0,4.78,74.0,2024-06-22,2024-01-27,-147
"Cabin in Bowen Island, Canada",the legendary wildwood cabins ~ CABIN 4,173.0,156.56024096385542,1.0,4.98,678.0,2024-07-08,2024-01-13,-177
"Condo in East End, U.S. Virgin Islands",Beautiful corner unit condo right on the beach!,298.0,156.56024096385542,2.0,4.97,73.0,2024-06-03,2024-01-08,-147
"Boat in Stuart, Florida, US",House Boat Sunset Bay Marina Stuart Fl,127.0,156.56024096385542,2.0,4.92,279.0,2024-09-10,2024-01-15,-239
"Apartment in Guanacaste Province, Costa Rica",Surf Shack Guiones - perfect beach location,130.0,156.56024096385542,2.0,4.82,278.0,2024-06-17,2024-01-24,-145
"Hut in Balderson, Canada",Glamping Cabin at Balderson Blueberries,80.0,156.56024096385542,1.0,4.89,76.0,2024-06-11,2024-01-16,-147
"Tiny home in Aptos, California, US",Bamboo Cottage in Aptos Mountain Retreat & Spa,130.0,156.56024096385542,1.0,4.78,257.0,2024-07-16,2024-01-21,-177
"Guesthouse in Naalehu, Hawaii, US",The Ohana,99.0,156.56024096385542,1.0,4.86,182.0,2024-06-23,2024-01-28,-147
"Condo in Honolulu, Hawaii, US",23FL Skyline King Studio w/Ocean & City Views.,221.0,174.0,2.0,4.95,41.0,2024-06-12,2024-01-18,-146
"Boutique hotel in Miami Beach, Florida, US",Room 2 Queen beds- Buffet Breakfast-Steps to beach,116.0,139.0,2.0,4.38,156.0,2024-06-05,2024-01-10,-147
"Condo in Miami, Florida, US","Luxury Condo in Hotel, amenities Downtown/Brickell",219.0,61.0,2.0,4.94,72.0,2024-06-11,2024-01-16,-147
"Guesthouse in Naalehu, Hawaii, US",The Ohana,99.0,97.0,1.0,4.86,182.0,2024-06-23,2024-01-28,-147
"Tiny home in Sackville, Canada",Enchanting Tiny Home 1 KM from downtown Sackville,117.0,192.0,1.0,4.86,64.0,2024-06-03,2024-01-08,-147
"Apartment in Carolina, Puerto Rico",Isla Verde Beach Studio {105},97.0,126.0,2.0,4.67,433.0,2024-07-23,2024-01-28,-177
"Condo in Atlantic City, New Jersey, US",Beachfront Condo Now Available! Sleeps 4 + Parking,133.0,156.56024096385542,2.0,4.51,88.0,2024-06-04,2024-01-09,-147
"Bungalow in Puerto Viejo de Talamanca, Costa Rica",CASA BADAWI in 400m Tropical Garden. Optical Fiber,72.0,156.56024096385542,2.0,4.96,108.0,2024-06-06,2024-01-11,-147
"Apartment in Santa Teresa Beach, Costa Rica",Beachside Apartment with Pool,117.0,156.56024096385542,2.0,4.84,270.0,2024-06-10,2024-01-15,-147
"Condo in Miami Beach, Florida, US",Oceanfront 16th Floor Brand New Beachfront Flat,302.0,156.56024096385542,1.0,4.83,683.0,2024-06-07,2024-01-12,-147
"Room in Panama City Beach, Florida, US","LOVELY ROOM, WALK TO BEACH, GORGEOUS DECK",146.0,156.56024096385542,2.0,4.88,256.0,2024-06-17,2024-01-22,-147
"Apartment in Yachats, Oregon, US",Beachfront Escape Unit #1 at Beachcomber Cottages,212.0,156.56024096385542,2.0,4.54,151.0,2024-06-20,2024-01-25,-147
"Condo in San Juan, Puerto Rico",CDM-Beach living @ Condado with pool and parking!,144.0,156.56024096385542,2.0,4.84,141.0,2024-07-09,2024-01-14,-177
"Condo in Luquillo, Puerto Rico",AHHH-MAZING VIEWS! Beach Front Apt.,121.0,156.56024096385542,2.0,4.88,490.0,2024-09-06,2024-01-12,-238
"Home in Avalon, California, US","Tropical Island Escape w/ Deck, Walk to Avalon Bay",336.0,156.56024096385542,1.0,4.34,80.0,2024-06-19,2024-01-24,-147
"Cabin in Sorrento, Canada","The Thimbleberry MicroCabin near lake, hot tub use",108.0,156.56024096385542,1.0,4.97,146.0,2024-06-04,2024-01-09,-147
"Room in Miami, Florida, US",Private room/bathroom in modern house with Pool,128.0,156.56024096385542,1.0,4.83,181.0,2024-07-08,2024-01-14,-176
"Apartment in Miami Beach, Florida, US","Modern 1/1, Half a Block from The Ocean",140.0,92.0,2.0,4.75,308.0,2024-06-12,2024-01-17,-147
"Room in Kailua-Kona, Hawaii, US",Satori Suite (The Bamboo House),199.0,159.0,2.0,4.91,292.0,2024-06-09,2024-01-14,-147
"Apartment in Cancún, Mexico",Cancun Suites (Standard Room),81.0,140.0,3.0,4.47,192.0,2024-07-02,2024-01-08,-176
"Room in Galveston, Texas, US",Tropicana Suite-Grand Manor Luxury Mansion Loft,92.0,46.0,1.0,4.86,494.0,2024-08-06,2024-01-12,-207
"Room in Kissimmee, Florida, US",Disney/Universal Home Away from Home!,162.0,48.0,1.0,4.95,221.0,2024-08-20,2024-01-25,-208
"Villa in Morongo Valley, California, US",Pink Galaxy | Private Observatory · Hot Tub · Pool,283.0,192.0,1.0,5.0,9.0,2024-06-07,2024-01-12,-147
"Room in La Habana, Cuba",Camera argento in tipica casa coloniale,42.0,156.56024096385542,3.0,4.81,168.0,2024-06-19,2024-01-24,-147
"Room in Kihei, Hawaii, US","GARDEN ROOM, private bathroom, separate entrance",184.0,156.56024096385542,2.0,4.96,284.0,2024-06-24,2024-01-29,-147
"Treehouse in Zona Hotelera, Mexico","Tree House - Beach Area, KS bed, 3 PPL",157.0,156.56024096385542,1.0,4.75,165.0,2024-07-10,2024-01-15,-177
"Apartment in Playa del Carmen, Mexico",It Hotel & Residences - Studio Rental in PDC,75.0,156.56024096385542,1.0,4.79,253.0,2024-06-03,2024-01-08,-147
"Hotel in Isla Mujeres, Mexico","Cozy & Neat hotel room 2pax ocean view WiFi,Pool",115.0,156.56024096385542,1.0,4.52,92.0,2024-08-05,2024-01-10,-208
"Hostel in Tulum, Mexico",Meteora Stay & Coffehouse Tulum - Deluxe Queen,59.0,156.56024096385542,1.0,4.74,105.0,2024-06-01,2024-01-06,-147
"Home in Oceanside, Oregon, US",Movie Theater + Kid Friendly | Book the Dome!,200.0,156.56024096385542,1.0,4.97,64.0,2024-06-04,2024-01-09,-147
"Room in Wilmington, New York, US",My Adirondack Home - Very Scenic,107.0,156.56024096385542,1.0,4.96,520.0,2024-06-05,2024-01-10,-147
"Condo in Miami Beach, Florida, US",New 16th Floor Beachfront 180º Oceanview Apartment,302.0,156.56024096385542,1.0,4.87,659.0,2024-06-01,2024-01-06,-147
"Room in Cancún, Mexico",Camilo's Luxury Shared Townhouse,81.0,156.56024096385542,1.0,4.87,301.0,2024-07-13,2024-01-18,-177
"Room in Cancún, Mexico","Surf, family & friends! Tropical Room in downtown",51.0,156.56024096385542,1.0,4.95,86.0,2024-06-03,2024-01-08,-147
"Apartment in Cancún, Mexico",1208 Beach property part ocean & pool view,79.0,156.56024096385542,1.0,4.64,148.0,2024-06-02,2024-01-07,-147
"Treehouse in Sandane , Norway",Amazing panoramic tree house Norway,285.0,185.0,1.0,4.86,410.0,2024-06-04,2024-01-09,-147
"Home in Jurków, Poland",Beachfront Cottage on the Lake,140.0,141.0,4.0,4.72,25.0,2024-06-11,2024-01-16,-147
"Farm stay in Şarköy, Turkey",Off-Grid vineyard and olive orchard home.,144.0,136.0,3.0,5.0,9.0,2024-06-07,2024-01-13,-146
"Place to stay in Krabčice, Czechia","R.I.P. by ŘÍP - 
Rest In Pod by ŘÍP",78.0,156.56024096385542,1.0,4.92,36.0,2024-06-01,2024-01-06,-147
"Condo in Fiumicino, Italy",LOVE Attic,209.0,156.56024096385542,2.0,4.85,178.0,2024-06-04,2024-01-09,-147
"Cabin in Güejar Sierra, Spain",Natural show in Cabaña Alcazaba,111.0,156.56024096385542,4.0,4.86,568.0,2024-06-11,2024-01-16,-147
"Cabin in Teo, Spain",MU_Moradas no Ulla 6. Cabañas de Compostela.,112.0,156.56024096385542,1.0,4.96,89.0,2024-06-11,2024-01-16,-147
"Place to stay in Hol, Norway",Unik Hobbit Cabin,221.0,156.56024096385542,2.0,4.84,239.0,2024-06-01,2024-01-06,-147
"Houseboat in Jickovice, Czechia","Boat in Orlik, you want it!",78.0,156.56024096385542,4.0,4.31,29.0,2024-06-08,2024-01-13,-147
"Home in Viana do Castelo, Portugal",Amonde Village - Casa P * Comfort & Quality,168.0,156.56024096385542,3.0,4.98,51.0,2024-06-18,2024-01-25,-145
"Tower in Gombola, Italy",Tower house Gombola,166.0,156.56024096385542,3.0,4.87,45.0,2024-06-04,2024-01-09,-147
"Cabin in Darżkowo, Poland",hut in the mid. of nowhere + priv pond+3 ha,181.0,156.56024096385542,2.0,4.79,396.0,2024-06-01,2024-01-06,-147
"Home in Kenilworth, UK",The Water Tower at Long Meadow Farm,246.0,156.56024096385542,2.0,4.85,181.0,2024-06-04,2024-01-09,-147
"Room in Dassel, Germany",Alte Wassermühle Friedrichshausen - Eulenstube,55.0,156.56024096385542,3.0,4.96,25.0,2024-06-10,2024-01-15,-147
"Farm stay in Montregard, France",Vovady Farm : Roulotte Bohème,82.0,156.56024096385542,3.0,4.85,34.0,2024-06-01,2024-01-06,-147
"Cabin in Gällstad, Sweden",Cabin on the countryside close to the small city.,111.0,136.0,5.0,4.71,51.0,2024-06-10,2024-01-15,-147
"Cabin in Trasquera, Italy",La Barona Chalet,223.0,167.0,1.0,4.99,240.0,2024-06-04,2024-01-09,-147
"Shepherd’s hut in Hessisch Lichtenau, Germany","""Lieblingsplatz"" shepherd's hut",55.0,156.56024096385542,2.0,4.96,24.0,2024-06-02,2024-01-07,-147
"Tiny home in Draperstown, UK",The Black Shack @ Bancran School,169.0,156.56024096385542,3.0,4.97,304.0,2024-08-04,2024-01-09,-208
"Apartment in Calpe, Spain",Apartment Caribe - PlusHolidays,80.0,156.56024096385542,2.0,3.67,3.0,2024-06-01,2024-01-06,-147
"Shepherd’s hut in Saint-Nabord, France",Anty's Pond: Davy Crockett's Hut,93.0,156.56024096385542,2.0,4.87,150.0,2024-06-23,2024-01-28,-147
"Apartment in Biarritz, France",Biarritz Grande Plage 25m2 with Balcony,176.0,156.56024096385542,2.0,4.91,316.0,2024-06-01,2024-01-06,-147
"Trullo in Ostuni, Italy",TRULLO ISABELLA,158.0,156.56024096385542,4.0,4.98,95.0,2024-06-25,2024-01-30,-147
"Farm stay in Girvan, UK",Secluded Hand crafted log cabin,139.0,156.56024096385542,1.0,5.0,68.0,2024-06-05,2024-01-10,-147
"Home in Miazzina, Italy","Baita Vrei (2)""Titta"" - Hut Lago Maggiore",61.0,156.56024096385542,2.0,4.84,63.0,2024-06-04,2024-01-09,-147
"Tiny home in Poltimore, UK",Tranquil retreat with fantastic countryside views,115.0,156.56024096385542,2.0,4.92,227.0,2024-08-02,2024-01-07,-208
"Villa in Pollina, Italy",Romantic and one-of-a-kind Beachouse,183.0,156.56024096385542,4.0,4.88,48.0,2024-10-12,2024-01-17,-269
"Condo in Χράνοι, Greece",Ilaira Apartments,86.0,156.56024096385542,1.0,4.86,38.0,2024-06-07,2024-01-12,-147
"Apartment in Rodos, Greece",Central 1bedroom apt by the sea,61.0,156.56024096385542,2.0,4.76,214.0,2024-10-10,2024-01-15,-269
"Tiny home in Midmar, UK",Cosy Romantic Cabin with Wood Burning Stove.,107.0,156.56024096385542,2.0,4.96,274.0,2024-06-11,2024-01-16,-147
"Farm stay in Agello, Italy",Historic residence surrounded by olive trees,75.0,115.0,2.0,4.98,46.0,2024-06-12,2024-01-17,-147
"Cabin in Adainville, France",Wonderful Old Cabin on Rare Natural Site,147.0,133.0,1.0,4.93,151.0,2024-06-11,2024-01-16,-147
"Castle in Vay, France","Stay in the castle, with family or friends",92.0,118.0,4.0,4.94,169.0,2024-06-18,2024-01-23,-147
"Room in Aljezur, Portugal",XS Village - Arrifana Suite (private bathroom),100.0,156.56024096385542,2.0,4.96,25.0,2024-06-24,2024-01-29,-147
"Barn in Rattray, UK",The Loft at the Bonnington Farm,135.0,156.56024096385542,1.0,4.89,423.0,2024-06-15,2024-01-21,-146
"Hotel room in Muratpaşa, Turkey",KALEİÇİ BACCHUS OTEL DENİZ MANZARALI TATİL 501,83.0,156.56024096385542,1.0,4.73,230.0,2024-06-25,2024-01-30,-147
"Room in Behren-Lübchin, Germany",Wohnung Ruth Herrenhaus Viecheln Anno 1869,121.0,156.56024096385542,2.0,4.97,34.0,2024-06-11,2024-01-16,-147
"Tiny home in Les Haudères, Switzerland",Swiss Tiny Chalet,109.0,156.56024096385542,4.0,4.8,157.0,2024-06-01,2024-01-06,-147
"Chalet in Étival, France",The Napoleonic period chalet in the High Jura,105.0,156.56024096385542,1.0,4.98,190.0,2024-07-16,2024-01-21,-177
"Home in Rémalard, France","Moulin de Boiscorde, ideal for couples and families",128.0,156.56024096385542,3.0,4.9,41.0,2024-06-02,2024-01-07,-147
"Farm stay in Montepulciano, Italy",Rural Tuscany | Wine farm with pool | Terrarossa,148.0,156.56024096385542,5.0,4.33,6.0,2024-06-14,2024-01-20,-146
"Trullo in Ostuni, Italy",Magical Trullo in Ostuni Cis BR0740129000012213,105.0,156.56024096385542,1.0,4.87,87.0,2024-07-19,2024-01-24,-177
"Cabin in Nowy Targ, Poland",Gruszkówka 1 Cottage (7 km from Białka ),96.0,156.56024096385542,1.0,4.98,86.0,2024-06-18,2024-01-25,-145
"Shepherd’s hut in Hollacombe, UK",Woodland Stargazing Cabin,133.0,156.56024096385542,1.0,4.83,174.0,2024-06-02,2024-01-07,-147
"Room in London, UK",Room available in Greater London suburb home,43.0,156.56024096385542,1.0,4.98,94.0,2024-05-01,2024-01-06,-116
"Apartment in Megalochori, Greece",Casa Tua,142.0,156.56024096385542,1.0,4.66,68.0,2024-06-04,2024-01-09,-147
"Farm stay in Catsfield, UK",CABIN X GPF,225.0,156.56024096385542,1.0,4.99,239.0,2024-06-25,2024-01-30,-147
"Room in La Zubia, Spain",Alhambra Trails 2,94.0,84.0,2.0,4.78,36.0,2024-06-06,2024-01-13,-145
"Chalet in Afa, France",""" La cabane du Gozzi""",85.0,66.0,2.0,4.79,346.0,2024-06-01,2024-01-06,-147
"Apartment in Ericeira, Portugal",FLH Ericeira Ocean Flat,216.0,157.0,3.0,4.45,187.0,2024-07-16,2024-01-21,-177
"Room in Rouffignac-de-Sigoulès, France",manoir 19 ème siècle LE COUTUREAU isaline,135.0,156.56024096385542,1.0,5.0,11.0,2024-06-01,2024-01-06,-147
"Guesthouse in Esche, Germany",Guesthouse an der Vechte,50.0,156.56024096385542,2.0,4.94,104.0,2024-07-22,2024-01-27,-177
"Condo in Kremasti, Greece",L & C Deluxe Apartment - luxury and comfort,136.0,156.56024096385542,1.0,5.0,45.0,2024-06-06,2024-01-11,-147
"Room in Torreglia, Italy",Country House,69.0,156.56024096385542,3.0,4.94,84.0,2024-06-11,2024-01-16,-147
"Cave in Mesaria, Greece",Luxury Triple cave room,129.0,156.56024096385542,4.0,4.72,32.0,2024-06-12,2024-01-17,-147
"Barn in Nutley, UK",Rural Retreat on the Ashdown Forest,184.0,156.56024096385542,1.0,4.96,114.0,2024-06-12,2024-01-17,-147
"Castle in Winningen, Germany",Magazine - Oskar Schwebel -,136.0,156.56024096385542,4.0,4.66,277.0,2024-06-11,2024-01-16,-147
"Home in Baião, Portugal",CasasdoCasinhotoD-Rustic House (pool; river view),131.0,156.56024096385542,1.0,4.81,43.0,2024-06-12,2024-01-17,-147
"Nature lodge in Highland Council, UK",Elegant Little Wyvis Lodge - Sleeps 2,159.0,156.56024096385542,3.0,4.96,95.0,2024-06-02,2024-01-07,-147
"Cabin in Totana, Spain",Rural Aledo - El Estrecho,76.0,156.56024096385542,4.0,4.78,24.0,2024-06-18,2024-01-25,-145
"Treehouse in Fountana, Greece",Nasos' Treehouse,98.0,156.56024096385542,2.0,4.81,98.0,2024-06-01,2024-01-06,-147
"Cabin in Filipstad N, Sweden",FredrikLars farm at Nordmarksberg Manor,44.0,156.56024096385542,2.0,4.98,46.0,2024-06-24,2024-01-30,-146
"Room in Borgo Valsugana, Italy","La Tana del Lupo B&B, family and outdoor sports",73.0,156.56024096385542,2.0,4.99,121.0,2024-09-18,2024-01-23,-239
"Cabin in Llandissilio, UK",The Llama Lodge - a Log Cabin on a Llama Farm,205.0,156.56024096385542,2.0,4.92,60.0,2024-06-04,2024-01-09,-147
"Room in Torreglia, Italy",Country House,69.0,66.0,2.0,4.94,84.0,2024-06-11,2024-01-16,-147
"Cave in Mesaria, Greece",Luxury Triple cave room,129.0,157.0,3.0,4.72,32.0,2024-06-12,2024-01-17,-147
"Castle in Winningen, Germany",Magazine - Oskar Schwebel -,136.0,99.0,4.0,4.66,277.0,2024-06-11,2024-01-16,-147
"Home in Baião, Portugal",CasasdoCasinhotoD-Rustic House (pool; river view),131.0,156.56024096385542,1.0,4.81,43.0,2024-06-12,2024-01-17,-147
"Nature lodge in Highland Council, UK",Elegant Little Wyvis Lodge - Sleeps 2,159.0,156.56024096385542,4.0,4.96,95.0,2024-06-02,2024-01-07,-147
"Cabin in Totana, Spain",Rural Aledo - El Estrecho,76.0,156.56024096385542,1.0,4.78,24.0,2024-06-18,2024-01-25,-145
"Treehouse in Fountana, Greece",Nasos' Treehouse,98.0,156.56024096385542,1.0,4.91,32.0,2024-06-01,2024-01-06,-147
"Vacation home in Akrotiri, Greece",The North Windmill ⚓ Unique House with View,184.0,156.56024096385542,4.0,4.98,46.0,2024-06-09,2024-01-14,-147
"Room in Borgo Valsugana, Italy","La Tana del Lupo B&B, family and outdoor sports",73.0,156.56024096385542,1.0,4.99,121.0,2024-09-18,2024-01-23,-239
"Cabin in Llandissilio, UK",The Llama Lodge - a Log Cabin on a Llama Farm,205.0,156.56024096385542,2.0,4.95,111.0,2024-06-04,2024-01-09,-147
"Cottage in Trefeinon, UK",Bumble Bee Cottage,141.0,156.56024096385542,4.0,4.93,410.0,2024-06-11,2024-01-16,-147
"Yurt in Cynwyd, UK",Gorgeous yurt in amazing mountain/forest location,107.0,156.56024096385542,1.0,4.91,339.0,2024-07-12,2024-01-17,-177
"Apartment in Athina, Greece","Diamond Home 1, romantic gem, 20 min to Acropolis",112.0,156.56024096385542,4.0,4.79,217.0,2024-07-05,2024-01-10,-177
"Trullo in Alberobello, Italy",TrulLetto,114.0,156.56024096385542,3.0,4.85,52.0,2024-06-04,2024-01-09,-147
"Cabin in Båstad V, Sweden","Tyga Gård, probably most beautiful on Bjäre",94.0,156.56024096385542,1.0,4.9,43.0,2024-06-01,2024-01-06,-147
"Home in Coreggia, Italy",Silk Trulli,86.0,156.56024096385542,1.0,4.52,21.0,2024-06-03,2024-01-08,-147
"Trullo in Martina Franca, Italy",The Olive Tree Court,92.0,156.56024096385542,1.0,4.85,143.0,2024-06-03,2024-01-08,-147
"Room in Berlin, Germany",Friedrichshain Beautiful Sunny Room with Balcony,135.0,73.0,2.0,5.0,6.0,2024-07-25,2024-01-31,-176
"Room in Santa Lucia, Italy",Star Night Room - Van Gogh Hills B&B,68.0,156.56024096385542,3.0,4.91,23.0,2024-06-01,2024-01-06,-147
"Home in Reclesne, France",La Petite Chaumière,85.0,156.56024096385542,1.0,4.79,39.0,2024-06-02,2024-01-07,-147
"Farm stay in Asciano, Italy",Green - Lawns in Tuscany,91.0,156.56024096385542,3.0,4.97,145.0,2024-07-08,2024-01-13,-177
"Farm stay in Pennabilli, Italy",Casa Cerbaia | Betulla,86.0,156.56024096385542,4.0,4.95,19.0,2024-06-21,2024-01-26,-147
"Barn in Nes På Hedmark, Norway","Sommerfjøset on Hovelsrud, Helgøya",328.0,156.56024096385542,2.0,4.96,136.0,2024-07-14,2024-01-20,-176
"Cabin in Torsåker, Sweden",Cozy cottage in Torsåker (Hofors),75.0,156.56024096385542,4.0,4.83,254.0,2024-06-07,2024-01-12,-147
"Cabin in Walpole, UK","Peaceful, wooden garden cabin",93.0,156.56024096385542,1.0,4.91,255.0,2024-07-09,2024-01-14,-177
"Place to stay in East Farndon, UK",Rural farm-Spacious triple bedroom with en suite,71.0,156.56024096385542,1.0,4.92,113.0,2024-07-02,2024-01-07,-177
"Room in Rüthen, Germany",Private room in the heart of nature,42.0,156.56024096385542,1.0,4.96,114.0,2024-06-03,2024-01-08,-147
"Room in Rome, Italy",Xavier House,43.0,156.56024096385542,1.0,4.89,184.0,2024-10-09,2024-01-14,-269
"Apartment in Plaka, Greece","Akti Karras, Plaka Naxos (up to 2 guests)",55.0,156.56024096385542,1.0,4.91,23.0,2024-06-20,2024-01-25,-147
"Condo in Saint-Lary-Soulan, France",Studio lookout,31.0,156.56024096385542,1.0,4.45,240.0,2024-06-01,2024-01-06,-147
"Room in Borgo Valbelluna, Italy",Bavarian room in the Dolomites,84.0,156.56024096385542,1.0,4.8,5.0,2024-06-01,2024-01-06,-147
"Room in Kassel, Germany",Cosy interesting loam house,78.0,156.56024096385542,1.0,5.0,10.0,2024-06-05,2024-01-12,-145
"Room in Barcelona , Spain",Nice room in duplex + terrace near BCN,55.0,156.56024096385542,1.0,4.89,128.0,2024-11-11,2024-01-16,-300
"Tent in Sabóia, Portugal",Lost Paradise - A night into the Alentejo!,85.0,71.0,5.0,4.95,39.0,2024-06-01,2024-01-06,-147
"Place to stay in Mont-le-Vernois, France",Cabin in the wild,95.0,78.0,2.0,4.98,46.0,2024-09-03,2024-01-10,-237
"Shipping container in Dirlaught, Ireland",Amazing shipping container house + sea views+ WIFI,164.0,156.56024096385542,1.0,4.91,43.0,2024-08-07,2024-01-12,-208
"Hut in Witzenhausen, Germany","Countryside Sleeps, Bakery, Homestay",73.0,156.56024096385542,1.0,4.95,385.0,2024-07-16,2024-01-21,-177
"Room in Planos, Greece",Kimiro Hotel Tsilivi,97.0,156.56024096385542,1.0,4.91,43.0,2024-06-05,2024-01-10,-147
"Apartment in Kadıköy, Turkey",Studio apartment with AC - Suite 3,34.0,156.56024096385542,3.0,5.0,3.0,2024-06-17,2024-01-22,-147
"Cottage in Nicosia, Italy",Sicilian Mountain Oasis - Entire Villa (Smart W.),100.0,156.56024096385542,2.0,4.94,325.0,2024-11-14,2024-01-19,-300
"Bungalow in Izmir, Turkey",İzmir Bungalow. ( Urla treehouse 1),74.0,156.56024096385542,1.0,4.82,223.0,2024-06-08,2024-01-13,-147
"Guesthouse in Perranwell Station, UK",The Folly - Cornwall,111.0,156.56024096385542,1.0,5.0,11.0,2024-06-18,2024-01-23,-147
"Dome in Wapnica, Poland",Delightfull Dome with Hot tub & sauna on the beach,319.0,156.56024096385542,1.0,4.98,52.0,2024-06-03,2024-01-08,-147
"Cabin in Millbrook, UK",Romantic Ocean View Couples Retreat Cornwall,357.0,156.56024096385542,2.0,5.0,61.0,2024-06-10,2024-01-15,-147
"Cottage in Benalauría, Spain","""La Parra"", rural tourism. Your home in paradise.",67.0,156.56024096385542,1.0,4.99,335.0,2024-09-16,2024-01-21,-239
"Tiny home in Muldenhammer, Germany",Hascherle Hitt,86.0,156.56024096385542,2.0,5.0,57.0,2024-06-05,2024-01-10,-147
"Home in Audierne, France",Villa Trouz Ar Mor,135.0,156.56024096385542,2.0,4.85,13.0,2024-07-01,2024-01-06,-177
"Bungalow in Izmir, Turkey",İzmir Bungalow. ( Urla treehouse 1),74.0,32.0,2.0,4.82,223.0,2024-06-08,2024-01-13,-147
"Guesthouse in Perranwell Station, UK",The Folly - Cornwall,111.0,156.56024096385542,1.0,5.0,11.0,2024-06-18,2024-01-23,-147
"Dome in Wapnica, Poland",Delightfull Dome with Hot tub & sauna on the beach,319.0,156.56024096385542,2.0,4.98,52.0,2024-06-03,2024-01-08,-147
"Cabin in Millbrook, UK",Romantic Ocean View Couples Retreat Cornwall,357.0,156.56024096385542,1.0,5.0,61.0,2024-06-10,2024-01-15,-147
"Treehouse in Penzance, UK",Peaceful Country Treehouse Nr Penzance & St Ives,294.0,156.56024096385542,1.0,4.95,292.0,2024-07-06,2024-01-11,-177
"Cottage in Benalauría, Spain","""La Parra"", rural tourism. Your home in paradise.",67.0,156.56024096385542,1.0,4.99,335.0,2024-09-16,2024-01-21,-239
"Cabin in La Atalaya, Spain",Cabaña ecológica de madera en la naturaleza,80.0,156.56024096385542,3.0,4.79,14.0,2024-06-11,2024-01-16,-147
"Tiny home in Vouzela, Portugal",Gallas Pod House,57.0,156.56024096385542,2.0,5.0,25.0,2024-06-01,2024-01-06,-147
"Tiny home in Muldenhammer, Germany",Hascherle Hitt,86.0,156.56024096385542,1.0,5.0,57.0,2024-06-05,2024-01-10,-147
"Apartment in Thessaloniki, Greece",Waterfront #41Design - CozyCityCenter Flat,70.0,156.56024096385542,2.0,4.84,546.0,2024-07-08,2024-01-13,-177
"Home in Audierne, France",Villa Trouz Ar Mor,135.0,156.56024096385542,2.0,4.85,13.0,2024-07-01,2024-01-06,-177
"Treehouse in Torbalı, Turkey","Treehouse Izmir 
View all our houses please ..",40.0,156.56024096385542,3.0,4.9,394.0,2024-06-11,2024-01-16,-147
"Bungalow in Fethiye, Turkey",Kaktus Suites Fethiye - City Bungalow 2 w/pool,69.0,156.56024096385542,1.0,4.87,53.0,2024-06-17,2024-01-22,-147
"Yurt in Finestrat, Spain",Yurt op Off-Grid Homestead,49.0,156.56024096385542,1.0,4.92,38.0,2024-06-04,2024-01-09,-147
"Cabin in Idrac respailles , France",Cabin into the wild,77.0,154.0,1.0,4.67,282.0,2024-06-04,2024-01-09,-147
"Apartment in Kotor, Montenegro",💎Boka Bay view apartment.💎,93.0,102.0,3.0,4.69,218.0,2024-07-08,2024-01-14,-176
"Home in Chalkida, Greece",Seaside & Garden Single family home,104.0,124.0,2.0,4.94,33.0,2024-06-08,2024-01-13,-147
"Place to stay in Scottish Borders, UK","16th Century Scottish Borders Tower, by Earlston",252.0,113.0,3.0,4.96,464.0,2024-07-13,2024-01-18,-177
"Loft in Baošići, Montenegro",Porto Bello Lux ( Sea View & Swimming Pool),58.0,156.56024096385542,4.0,4.9,110.0,2024-06-05,2024-01-10,-147
"Home in Atouguia da Baleia, Portugal","Spectacular view of Supertubos beach, Peniche",126.0,156.56024096385542,3.0,4.82,34.0,2024-10-01,2024-01-06,-269
"Home in Bad Sankt Leonhard im Lavanttal, Austria",1A chalet resting crickets + hiking with indoor sauna,123.0,156.56024096385542,3.0,4.67,110.0,2024-06-22,2024-01-27,-147
"Vacation home in Punta Prima, Spain",Beachfront apartment with perfect seaview,231.0,156.56024096385542,4.0,4.85,204.0,2024-06-01,2024-01-06,-147
"Treehouse in Verson, France",2 Cabins perched above a pond!,98.0,156.56024096385542,4.0,4.91,68.0,2024-06-04,2024-01-10,-146
"Home in Vaiano, Italy",Casale La Quercia - Tuscany country house,111.0,156.56024096385542,2.0,4.94,530.0,2024-06-21,2024-01-26,-147
"Cottage in Boscastle, UK","A Boscastle barn, rustic simplicity stunning views",141.0,156.56024096385542,1.0,5.0,9.0,2024-06-11,2024-01-16,-147
